,AUC,Beta1,Beta2
0,3365.1910447761193,1.0,0.0
1,3443.492537313433,1.0,0.1
2,3540.885074626866,1.0,0.2
3,3609.089552238806,1.0,0.30000000000000004
4,3645.5223880597014,1.0,0.4
5,3712.910447761194,1.0,0.5
6,3727.9,1.0,0.6000000000000001
7,3749.773134328358,1.0,0.7000000000000001
8,3852.723880597015,1.0,0.8
9,3879.5671641791046,1.0,0.9
10,3895.9701492537315,1.0,1.0
11,3895.162686567164,1.0,1.1
12,3897.280597014925,1.0,1.2000000000000002
13,3909.3985074626867,1.0,1.3
14,3916.158208955224,1.0,1.4000000000000001
15,3896.002985074627,1.0,1.5
16,3923.6522388059702,1.0,1.6
17,3949.007462686567,1.0,1.7000000000000002
18,3947.2283582089553,1.0,1.8
19,3962.389552238806,1.0,1.9000000000000001
20,3962.7432835820896,1.0,2.0
21,3966.9402985074626,1.0,2.1
22,3972.7716417910447,1.0,2.2
23,3976.9089552238806,1.0,2.3000000000000003
24,3984.640298507463,1.0,2.4000000000000004
25,4006.344776119403,1.0,2.5
26,3987.6029850746268,1.0,2.6
27,3994.734328358209,1.0,2.7
28,4040.39552238806,1.0,2.8000000000000003
29,4030.6029850746268,1.0,2.9000000000000004
30,4034.6880597014924,1.0,3.0
31,4036.662686567164,1.0,3.1
32,4040.74776119403,1.0,3.2
33,4048.989552238806,1.0,3.3000000000000003
34,4048.9432835820894,1.0,3.4000000000000004
35,4042.044776119403,1.0,3.5
36,4077.662686567164,1.0,3.6
37,4078.479104477612,1.0,3.7
38,4064.313432835821,1.0,3.8000000000000003
39,4054.758208955224,1.0,3.9000000000000004
40,4053.208955223881,1.0,4.0
41,4059.2567164179104,1.0,4.1000000000000005
42,4069.028358208955,1.0,4.2
43,4073.3044776119405,1.0,4.3
44,4068.0522388059703,1.0,4.4
45,4055.3746268656714,1.0,4.5
46,4056.5492537313435,1.0,4.6000000000000005
47,4060.0373134328356,1.0,4.7
48,4060.0955223880596,1.0,4.800000000000001
49,4072.3880597014927,1.0,4.9
50,4079.571641791045,1.0,5.0
51,4084.9462686567163,1.0,5.1000000000000005
52,4090.323880597015,1.0,5.2
53,4092.3149253731344,1.0,5.300000000000001
54,4093.791044776119,1.0,5.4
55,4089.2014925373132,1.0,5.5
56,4080.550746268657,1.0,5.6000000000000005
57,4090.816417910448,1.0,5.7
58,4106.571641791044,1.0,5.800000000000001
59,4109.90895522388,1.0,5.9
60,4115.223880597015,1.0,6.0
61,3658.150746268657,2.0,0.0
62,3677.0850746268657,2.0,0.1
63,3711.071641791045,2.0,0.2
64,3785.2492537313433,2.0,0.30000000000000004
65,3822.3910447761195,2.0,0.4
66,3843.964179104478,2.0,0.5
67,3837.9835820895523,2.0,0.6000000000000001
68,3833.025373134328,2.0,0.7000000000000001
69,3887.5,2.0,0.8
70,3909.7223880597016,2.0,0.9
71,3916.737313432836,2.0,1.0
72,3940.737313432836,2.0,1.1
73,3926.679104477612,2.0,1.2000000000000002
74,3927.7537313432836,2.0,1.3
75,3913.9656716417912,2.0,1.4000000000000001
76,3952.0417910447763,2.0,1.5
77,3967.955223880597,2.0,1.6
78,3984.186567164179,2.0,1.7000000000000002
79,3990.6194029850744,2.0,1.8
80,3991.4880597014926,2.0,1.9000000000000001
81,3987.7,2.0,2.0
82,3990.2432835820896,2.0,2.1
83,3982.286567164179,2.0,2.2
84,4034.310447761194,2.0,2.3000000000000003
85,4040.25223880597,2.0,2.4000000000000004
86,4041.8641791044774,2.0,2.5
87,4058.392537313433,2.0,2.6
88,4046.6238805970147,2.0,2.7
89,4058.168656716418,2.0,2.8000000000000003
90,4071.338805970149,2.0,2.9000000000000004
91,4063.8477611940298,2.0,3.0
92,4072.571641791045,2.0,3.1
93,4068.29552238806,2.0,3.2
94,4048.8462686567163,2.0,3.3000000000000003
95,4058.3611940298506,2.0,3.4000000000000004
96,4047.802985074627,2.0,3.5
97,4044.95223880597,2.0,3.6
98,4043.565671641791,2.0,3.7
99,4060.5402985074625,2.0,3.8000000000000003
100,4059.2283582089553,2.0,3.9000000000000004
101,4066.8940298507464,2.0,4.0
102,4070.9402985074626,2.0,4.1000000000000005
103,4073.14776119403,2.0,4.2
104,4062.110447761194,2.0,4.3
105,4063.9194029850746,2.0,4.4
106,4066.931343283582,2.0,4.5
107,4061.7880597014923,2.0,4.6000000000000005
108,4063.865671641791,2.0,4.7
109,4079.9985074626866,2.0,4.800000000000001
110,4087.6417910447763,2.0,4.9
111,4096.067164179104,2.0,5.0
112,4088.2970149253733,2.0,5.1000000000000005
113,4091.140298507463,2.0,5.2
114,4093.068656716418,2.0,5.300000000000001
115,4093.291044776119,2.0,5.4
116,4105.376119402985,2.0,5.5
117,4111.6567164179105,2.0,5.6000000000000005
118,4119.997014925373,2.0,5.7
119,4132.956716417911,2.0,5.800000000000001
120,4146.905970149253,2.0,5.9
121,4146.650746268657,2.0,6.0
122,3731.359701492537,3.0,0.0
123,3776.4477611940297,3.0,0.1
124,3809.1059701492536,3.0,0.2
125,3852.3865671641793,3.0,0.30000000000000004
126,3848.5,3.0,0.4
127,3872.64776119403,3.0,0.5
128,3875.7283582089553,3.0,0.6000000000000001
129,3891.779104477612,3.0,0.7000000000000001
130,3883.471641791045,3.0,0.8
131,3907.413432835821,3.0,0.9
132,3929.75223880597,3.0,1.0
133,3937.3805970149256,3.0,1.1
134,3948.268656716418,3.0,1.2000000000000002
135,3970.0328358208953,3.0,1.3
136,3993.9089552238806,3.0,1.4000000000000001
137,4009.2492537313433,3.0,1.5
138,4027.7223880597016,3.0,1.6
139,4018.344776119403,3.0,1.7000000000000002
140,4046.779104477612,3.0,1.8
141,4039.589552238806,3.0,1.9000000000000001
142,4050.734328358209,3.0,2.0
143,4054.6597014925374,3.0,2.1
144,4057.8865671641793,3.0,2.2
145,4066.5567164179106,3.0,2.3000000000000003
146,4063.7940298507465,3.0,2.4000000000000004
147,4044.208955223881,3.0,2.5
148,4051.1641791044776,3.0,2.6
149,4065.310447761194,3.0,2.7
150,4043.7895522388058,3.0,2.8000000000000003
151,4037.849253731343,3.0,2.9000000000000004
152,4040.5955223880596,3.0,3.0
153,4042.8985074626867,3.0,3.1
154,4040.2746268656715,3.0,3.2
155,4047.5776119402985,3.0,3.3000000000000003
156,4046.8194029850747,3.0,3.4000000000000004
157,4058.3044776119405,3.0,3.5
158,4065.417910447761,3.0,3.6
159,4062.155223880597,3.0,3.7
160,4060.3970149253732,3.0,3.8000000000000003
161,4062.762686567164,3.0,3.9000000000000004
162,4065.216417910448,3.0,4.0
163,4056.707462686567,3.0,4.1000000000000005
164,4061.7059701492535,3.0,4.2
165,4062.70447761194,3.0,4.3
166,4071.1820895522387,3.0,4.4
167,4089.6119402985073,3.0,4.5
168,4097.585074626866,3.0,4.6000000000000005
169,4102.474626865672,3.0,4.7
170,4118.505970149254,3.0,4.800000000000001
171,4118.113432835821,3.0,4.9
172,4108.571641791044,3.0,5.0
173,4104.665671641791,3.0,5.1000000000000005
174,4100.638805970149,3.0,5.2
175,4111.626865671642,3.0,5.300000000000001
176,4116.759701492538,3.0,5.4
177,4138.685074626866,3.0,5.5
178,4147.50447761194,3.0,5.6000000000000005
179,4151.467164179105,3.0,5.7
180,4145.876119402985,3.0,5.800000000000001
181,4135.1,3.0,5.9
182,4137.864179104477,3.0,6.0
183,3872.964179104478,4.0,0.0
184,3870.7776119402984,4.0,0.1
