,AUC,Beta1,Beta2
0,23527.09552238806,1.0,0.0
1,24003.767164179106,1.0,0.1
2,24226.56865671642,1.0,0.2
3,24437.080597014927,1.0,0.30000000000000004
4,24515.985074626864,1.0,0.4
5,24712.453731343285,1.0,0.5
6,24726.688059701493,1.0,0.6000000000000001
7,24775.241791044777,1.0,0.7000000000000001
8,24975.11791044776,1.0,0.8
9,25077.52537313433,1.0,0.9
10,25168.43432835821,1.0,1.0
11,25141.597014925374,1.0,1.1
12,25121.51343283582,1.0,1.2000000000000002
13,25152.923880597016,1.0,1.3
14,25172.373134328358,1.0,1.4000000000000001
15,25186.47462686567,1.0,1.5
16,25139.807462686567,1.0,1.6
17,25225.1776119403,1.0,1.7000000000000002
18,25253.871641791044,1.0,1.8
19,25262.723880597016,1.0,1.9000000000000001
20,25276.058208955223,1.0,2.0
21,25285.05074626866,1.0,2.1
22,25236.423880597016,1.0,2.2
23,25232.22537313433,1.0,2.3000000000000003
24,25289.094029850745,1.0,2.4000000000000004
25,25305.57313432836,1.0,2.5
26,25298.780597014924,1.0,2.6
27,25290.498507462686,1.0,2.7
28,25375.27313432836,1.0,2.8000000000000003
29,25353.94925373134,1.0,2.9000000000000004
30,25339.501492537314,1.0,3.0
31,25386.358208955226,1.0,3.1
32,25372.170149253732,1.0,3.2
33,25397.73432835821,1.0,3.3000000000000003
34,25367.098507462688,1.0,3.4000000000000004
35,25364.428358208956,1.0,3.5
36,25434.159701492536,1.0,3.6
37,25407.56865671642,1.0,3.7
38,25411.344776119404,1.0,3.8000000000000003
39,25384.950746268656,1.0,3.9000000000000004
40,25367.376119402987,1.0,4.0
41,25415.36119402985,1.0,4.1000000000000005
42,25438.69552238806,1.0,4.2
43,25412.826865671643,1.0,4.3
44,25426.422388059702,1.0,4.4
45,25432.898507462687,1.0,4.5
46,25457.376119402987,1.0,4.6000000000000005
47,25423.58656716418,1.0,4.7
48,25437.443283582088,1.0,4.800000000000001
49,25459.9,1.0,4.9
50,25467.401492537312,1.0,5.0
51,25461.38358208955,1.0,5.1000000000000005
52,25504.319402985075,1.0,5.2
53,25477.889552238805,1.0,5.300000000000001
54,25482.329850746268,1.0,5.4
55,25473.42985074627,1.0,5.5
56,25452.077611940298,1.0,5.6000000000000005
57,25465.114925373135,1.0,5.7
58,25479.92985074627,1.0,5.800000000000001
59,25501.45671641791,1.0,5.9
60,25502.005970149254,1.0,6.0
61,24200.640298507464,2.0,0.0
62,24445.98208955224,2.0,0.1
63,24526.405970149255,2.0,0.2
64,24754.443283582088,2.0,0.30000000000000004
65,24877.602985074627,2.0,0.4
66,24873.471641791046,2.0,0.5
67,24903.55223880597,2.0,0.6000000000000001
68,24969.837313432836,2.0,0.7000000000000001
69,25038.811940298507,2.0,0.8
70,25125.705970149254,2.0,0.9
71,25173.071641791044,2.0,1.0
72,25184.99552238806,2.0,1.1
73,25177.571641791044,2.0,1.2000000000000002
74,25117.45970149254,2.0,1.3
75,25166.70746268657,2.0,1.4000000000000001
76,25195.782089552238,2.0,1.5
77,25247.101492537313,2.0,1.6
78,25296.31791044776,2.0,1.7000000000000002
79,25297.91194029851,2.0,1.8
80,25312.62089552239,2.0,1.9000000000000001
81,25272.701492537315,2.0,2.0
82,25262.046268656715,2.0,2.1
83,25252.394029850748,2.0,2.2
84,25356.323880597014,2.0,2.3000000000000003
85,25358.111940298506,2.0,2.4000000000000004
86,25341.640298507464,2.0,2.5
87,25357.119402985074,2.0,2.6
88,25373.905970149255,2.0,2.7
89,25375.998507462686,2.0,2.8000000000000003
90,25397.52537313433,2.0,2.9000000000000004
91,25411.005970149254,2.0,3.0
92,25411.119402985074,2.0,3.1
93,25391.485074626864,2.0,3.2
94,25377.06567164179,2.0,3.3000000000000003
95,25380.064179104476,2.0,3.4000000000000004
96,25394.55074626866,2.0,3.5
97,25404.958208955224,2.0,3.6
98,25399.9,2.0,3.7
99,25417.943283582088,2.0,3.8000000000000003
100,25376.62089552239,2.0,3.9000000000000004
101,25415.602985074627,2.0,4.0
102,25440.153731343282,2.0,4.1000000000000005
103,25436.798507462685,2.0,4.2
104,25447.72537313433,2.0,4.3
105,25454.943283582088,2.0,4.4
106,25474.110447761195,2.0,4.5
107,25445.858208955226,2.0,4.6000000000000005
108,25470.028358208954,2.0,4.7
109,25464.74328358209,2.0,4.800000000000001
110,25475.598507462688,2.0,4.9
111,25470.735820895523,2.0,5.0
112,25475.271641791045,2.0,5.1000000000000005
113,25488.823880597014,2.0,5.2
114,25480.464179104478,2.0,5.300000000000001
115,25471.99552238806,2.0,5.4
116,25478.238805970148,2.0,5.5
117,25495.83880597015,2.0,5.6000000000000005
118,25505.611940298506,2.0,5.7
119,25509.671641791047,2.0,5.800000000000001
120,25541.59552238806,2.0,5.9
121,25540.67910447761,2.0,6.0
122,24458.688059701493,3.0,0.0
123,24596.22985074627,3.0,0.1
124,24716.68208955224,3.0,0.2
125,24935.2447761194,3.0,0.30000000000000004
126,24859.973134328357,3.0,0.4
127,24869.246268656716,3.0,0.5
128,24993.93134328358,3.0,0.6000000000000001
129,25096.211940298508,3.0,0.7000000000000001
130,25082.923880597016,3.0,0.8
131,25101.43134328358,3.0,0.9
132,25123.301492537314,3.0,1.0
133,25171.537313432837,3.0,1.1
134,25171.24776119403,3.0,1.2000000000000002
135,25227.67910447761,3.0,1.3
136,25253.276119402984,3.0,1.4000000000000001
137,25253.440298507463,3.0,1.5
138,25351.214925373133,3.0,1.6
139,25319.70746268657,3.0,1.7000000000000002
140,25368.45671641791,3.0,1.8
141,25377.350746268658,3.0,1.9000000000000001
142,25421.74328358209,3.0,2.0
143,25391.13880597015,3.0,2.1
144,25343.49552238806,3.0,2.2
145,25382.328358208953,3.0,2.3000000000000003
146,25357.23432835821,3.0,2.4000000000000004
147,25350.646268656717,3.0,2.5
148,25362.965671641792,3.0,2.6
