AUC,D,M,gamma
-7022.7332400000005,4.0,62.0,0.42
-7010.624301999999,3.0,20.0,0.55
-6875.2988829999995,3.0,38.0,0.96
-6977.6326819999995,2.0,63.0,0.67
-7057.205306999999,4.0,61.0,0.2
-7021.6298879999995,4.0,70.0,0.51
-7004.775140000001,3.0,45.0,0.61
-7004.641061,3.0,39.0,0.59
-7039.28352,3.0,23.0,0.31
-7069.828212,3.0,24.0,0.05
-6958.843575,3.0,67.0,0.8
-7004.277932999999,3.0,18.0,0.68
-7039.425978,2.0,27.0,0.31
-7056.6829609999995,4.0,18.0,0.25
-6978.720670000001,4.0,33.0,0.81
-6944.219273999999,3.0,52.0,0.89
-7061.398045,3.0,67.0,0.16
-7017.5656420000005,4.0,34.0,0.54
-7016.430168000001,4.0,47.0,0.56
-6732.569831999999,3.0,64.0,1.0
-7065.062849,2.0,6.0,0.01
-7065.062849,2.0,6.0,0.01
-6941.8170390000005,2.0,2.0,0.02
-7068.076816,2.0,11.0,0.09
-7062.527932999999,2.0,11.0,0.1
-7068.076816,2.0,12.0,0.09
-7021.248603,2.0,28.0,0.41000000000000003
-6690.523743,3.0,1.0,0.1
-7016.555866,2.0,13.0,0.39
-7039.28352,3.0,27.0,0.31
-7060.650838,3.0,15.0,0.17
-7012.108939,2.0,23.0,0.45
-7069.828212,3.0,30.0,0.05
-7058.976256999999,3.0,43.0,0.25
-7060.470670000001,4.0,52.0,0.24
-7021.818436,3.0,31.0,0.37
-7069.828212,3.0,39.0,0.05
-7010.030726000001,3.0,39.0,0.67
-7014.709497,4.0,57.0,0.46
-7058.812849,3.0,37.0,0.15
-7026.294693000001,4.0,42.0,0.35000000000000003
-7058.110334999999,3.0,51.0,0.21
-7059.185754000001,3.0,49.0,0.14
-7068.325419,4.0,59.0,0.04
-7018.238826999999,3.0,41.0,0.48
-6971.607542,4.0,23.0,0.81
-7019.455306999999,3.0,55.0,0.63
-7045.314245999999,3.0,30.0,0.29
-6921.170391,3.0,19.0,0.91
-7008.396648000001,4.0,25.0,0.76
-7058.872904999999,3.0,36.0,0.19
-7069.550279000001,3.0,47.0,0.06
-7032.465084,3.0,33.0,0.34
-7018.529329999999,4.0,39.0,0.52
-6982.497206999999,2.0,7.0,0.72
-7071.175978,3.0,44.0,0.0
-7056.173184,4.0,45.0,0.12
-6983.444134,2.0,68.0,0.5700000000000001
-7050.527932999999,3.0,62.0,0.27
-7055.6201120000005,3.0,20.0,0.22
-6992.180168000001,2.0,15.0,0.62
-6849.995809999999,2.0,54.0,0.98
-6947.77095,4.0,45.0,0.88
-7065.062849,3.0,64.0,0.01
-7016.403631,3.0,31.0,0.42
-7066.655028,3.0,34.0,0.03
-7067.689944,3.0,48.0,0.07
