AUC,Beta1,Beta2
6472.831006,1,0
6725.730447,1,0.1
6883.888268,1,0.2
7105.696927,1,0.3
7168.905028,1,0.4
7277.328212,1,0.5
7270.371508,1,0.6
7299.01257,1,0.7
7400.734637,1,0.8
7441.365922,1,0.9
7443.607542,1,1
7444.256983,1,1.1
7433.861732,1,1.2
7464.907821,1,1.3
7460.78352,1,1.4
7480.337989,1,1.5
7528.715084,1,1.6
7520.465084,1,1.7
7522.606145,1,1.8
7525.615922,1,1.9
7536.317039,1,2
7549.493017,1,2.1
7570.673184,1,2.2
7586.343575,1,2.3
7607.230447,1,2.4
7625.374302,1,2.5
7614.99581,1,2.6
7626.97067,1,2.7
7612.518156,1,2.8
7593.726257,1,2.9
7594.469274,1,3
7598.670391,1,3.1
7615.990223,1,3.2
7625.244413,1,3.3
7642.058659,1,3.4
7634.930168,1,3.5
7658.182961,1,3.6
7640.600559,1,3.7
7664.937151,1,3.8
7677.312849,1,3.9
7684,1,4
7701.139665,1,4.1
7724.871508,1,4.2
7695.177374,1,4.3
7705.425978,1,4.4
7725.226257,1,4.5
7735.23743,1,4.6
7729.892458,1,4.7
7735.086592,1,4.8
7738.678771,1,4.9
7749.765363,1,5
7754.226257,1,5.1
7726.685754,1,5.2
7736.086592,1,5.3
7740.344972,1,5.4
7757.361732,1,5.5
7757.935754,1,5.6
7753.586592,1,5.7
7736.780726,1,5.8
7746.956704,1,5.9
7760.213687,1,6
7054.928771,2,0
7065.973464,2,0.1
7176.453911,2,0.2
7313.342179,2,0.3
7351.494413,2,0.4
7379.263966,2,0.5
7423.26676,2,0.6
7395.960894,2,0.7
7449.988827,2,0.8
7474.628492,2,0.9
7463.921788,2,1
7464.375698,2,1.1
7481.935754,2,1.2
7498.706704,2,1.3
7523.106145,2,1.4
7513.877095,2,1.5
7517.442737,2,1.6
7525.75838,2,1.7
7553.353352,2,1.8
7548.913408,2,1.9
7574.364525,2,2
7588.28352,2,2.1
7605.486034,2,2.2
7620.358939,2,2.3
7637.882682,2,2.4
7630.02514,2,2.5
7628.701117,2,2.6
7632.428771,2,2.7
7620.906425,2,2.8
7633.842179,2,2.9
7644.906425,2,3
7650.375698,2,3.1
7666.289106,2,3.2
7682.219274,2,3.3
7672.543296,2,3.4
7679.638268,2,3.5
7668.831006,2,3.6
7694.399441,2,3.7
7699.335196,2,3.8
7699.981844,2,3.9
7719.615922,2,4
7726.445531,2,4.1
7717,2,4.2
7737.575419,2,4.3
7735.467877,2,4.4
7746.892458,2,4.5
7750.719274,2,4.6
7734.357542,2,4.7
7732.972067,2,4.8
7741.839385,2,4.9
7747.079609,2,5
7736.25,2,5.1
7735.184358,2,5.2
7754.180168,2,5.3
7758.448324,2,5.4
7727.156425,2,5.5
7741.78352,2,5.6
7745.695531,2,5.7
7742.554469,2,5.8
7747.865922,2,5.9
7756.786313,2,6
7152.643855,3,0
7265.212291,3,0.1
7366.587989,3,0.2
7400.981844,3,0.3
7411.666201,3,0.4
7420.28352,3,0.5
7468.666201,3,0.6
7456.976257,3,0.7
7445.708101,3,0.8
7479.976257,3,0.9
7505.243017,3,1
7494.743017,3,1.1
7477.389665,3,1.2
7541.177374,3,1.3
7529.980447,3,1.4
7552.46648,3,1.5
7591.73743,3,1.6
7564.78352,3,1.7
7566.347765,3,1.8
7609.136872,3,1.9
7645.879888,3,2
7664.952514,3,2.1
7683.634078,3,2.2
7662.27514,3,2.3
7648.699721,3,2.4
7643.372905,3,2.5
7651.135475,3,2.6
7641.505587,3,2.7
7660.210894,3,2.8
7662.02514,3,2.9
7676.332402,3,3
7695.393855,3,3.1
7681.286313,3,3.2
7674.364525,3,3.3
7675.930168,3,3.4
7680.594972,3,3.5
7690.668994,3,3.6
7706.494413,3,3.7
7718.808659,3,3.8
7715.413408,3,3.9
7718.460894,3,4
7723.656425,3,4.1
7738.909218,3,4.2
7754.398045,3,4.3
7753.73324,3,4.4
7741.449721,3,4.5
7723.25419,3,4.6
7713.083799,3,4.7
7734.847765,3,4.8
7728.226257,3,4.9
7729.389665,3,5
7745.853352,3,5.1
7756.928771,3,5.2
7753.349162,3,5.3
7740.851955,3,5.4
7731.053073,3,5.5
7741.986034,3,5.6
7758.828212,3,5.7
7772.523743,3,5.8
7783.574022,3,5.9
7770.628492,3,6
7378.339385,4,0
7396.414804,4,0.1
7458.048883,4,0.2
7434.543296,4,0.3
7456.061453,4,0.4
7451.493017,4,0.5
7464.903631,4,0.6
7507.502793,4,0.7
7516.864525,4,0.8
7520.328212,4,0.9
7529.115922,4,1
7548.134078,4,1.1
7541.621508,4,1.2
7544.49162,4,1.3
7596.511173,4,1.4
7582.544693,4,1.5
7565.606145,4,1.6
7598.821229,4,1.7
7633.082402,4,1.8
7668.451117,4,1.9
7673.811453,4,2
7687.501397,4,2.1
7658.734637,4,2.2
7669.135475,4,2.3
7656.696927,4,2.4
7660.201117,4,2.5
7646.425978,4,2.6
7659.173184,4,2.7
7667.662011,4,2.8
7673.317039,4,2.9
7688.122905,4,3
7680.765363,4,3.1
7685.432961,4,3.2
7681.948324,4,3.3
7681.812849,4,3.4
7709.114525,4,3.5
7717.391061,4,3.6
7721.680168,4,3.7
7713.152235,4,3.8
7715.986034,4,3.9
7721.308659,4,4
7742.501397,4,4.1
7739.980447,4,4.2
7736.755587,4,4.3
7721.768156,4,4.4
7717.314246,4,4.5
7749.023743,4,4.6
7757.01257,4,4.7
7752.811453,4,4.8
7757.019553,4,4.9
7765.555866,4,5
7768.511173,4,5.1
7757.984637,4,5.2
7737.189944,4,5.3
7741.304469,4,5.4
7759.188547,4,5.5
7777.24162,4,5.6
7786.333799,4,5.7
7782.081006,4,5.8
7774.381285,4,5.9
7775.442737,4,6
7482.776536,5,0
7456.98324,5,0.1
7463.914804,5,0.2
7507.333799,5,0.3
7472.543296,5,0.4
7499.608939,5,0.5
7511.561453,5,0.6
7519.761173,5,0.7
7506.263966,5,0.8
7524.446927,5,0.9
7528.593575,5,1
7546.114525,5,1.1
7591.463687,5,1.2
7620.695531,5,1.3
7615.314246,5,1.4
7596.259777,5,1.5
7629.617318,5,1.6
7666.564246,5,1.7
7678.01676,5,1.8
7681.879888,5,1.9
7673.497207,5,2
7671.678771,5,2.1
7652.247207,5,2.2
7655.268156,5,2.3
7655.903631,5,2.4
7659.689944,5,2.5
7672.945531,5,2.6
7668.958101,5,2.7
7677.902235,5,2.8
7683.747207,5,2.9
7681.227654,5,3
7678.917598,5,3.1
7679.036313,5,3.2
7697.851955,5,3.3
7711.811453,5,3.4
7733.396648,5,3.5
7739.00419,5,3.6
7733.898045,5,3.7
7726.861732,5,3.8
7726.717877,5,3.9
7736.231844,5,4
7748.314246,5,4.1
7753.164804,5,4.2
7734.111732,5,4.3
7733.331006,5,4.4
7738.212291,5,4.5
7766.786313,5,4.6
7763.610335,5,4.7
7778.312849,5,4.8
7758.238827,5,4.9
7767.511173,5,5
7748.575419,5,5.1
7750.339385,5,5.2
7758.467877,5,5.3
7773.399441,5,5.4
7781.297486,5,5.5
7785.688547,5,5.6
7779.036313,5,5.7
7795.907821,5,5.8
7806.047486,5,5.9
7820.808659,5,6
7480.949721,6,0
7504.142458,6,0.1
7483.797486,6,0.2
7477.067039,6,0.3
7466.702514,6,0.4
7524.653631,6,0.5
7521.111732,6,0.6
7502.00838,6,0.7
